#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
79,"Come Over (Again)","Crawlers",57,93,"","","Crawlers - EP",2021-10-29,04:14,50,71,0,0,24,0,0,-8,D,4,2025-10-05,4PDJDIdWxNN1AlnbrKkoPf,"Lab Records",10B,GB8MX2100935
80,"Dear Maria, Count Me In - Japanese Version","Sunrise Skater Kids",40,90,"pop punk","Pop, Rock","Dear Maria, Count Me In (Japanese Version)",2021-11-19,03:02,55,90,0,0,63,0,20,-4,D,4,2025-10-05,0cQsu2wHTZmM5kHCjB8Yy6,"Chodezilla Records",10B,QZNWY2162103
81,"Falling to Pieces","Junior Doctor",0,120,"","","Clumsy Words and Bad Pickup Lines",2012-01-01,04:45,53,79,2,0,29,0,20,-5,D#/E♭,4,2025-10-05,6nzbXDHLOJjl121zYgEXW0,"Toucan Cove Entertainment",5B,US2G41200012
82,"How Do I Make You Love Me?","The Weeknd",67,121,"","","Dawn FM",2022-01-06,03:34,81,50,2,0,64,0,0,-8,G minor,4,2025-10-05,2Ghp894n1laIf2w98VeAOJ,"XO / Republic Records",6A,USUG12106683
83,"The Fisherman's Song (We All Need Love)","Mae",0,166,"christian alternative rock, emo","Christian, Rock","(m) (a) (e)",2017-02-14,08:21,44,90,1,0,30,0,10,-4,D#/E♭,4,2025-10-05,7f6rdylkaW1ki9gA0LfFON,"Tooth & Nail Records",5B,USTN10900673
84,"Steady, As She Goes","The Raconteurs",65,124,"garage rock, alternative rock","Rock","Broken Boy Soldiers",2006-05-15,03:35,53,58,1,1,54,10,10,-5,A,4,2025-10-05,4xlEKYv7HmC8zXoJIbpZKM,"Legacy Recordings",11B,USVT10600052
85,"I Just Threw Out The Love Of My Dreams","Weezer",71,130,"alternative rock","Rock","Pinkerton - Deluxe Edition",1996-09-24,02:37,41,97,0,0,28,10,10,-4,F#/G♭ minor,4,2025-10-05,35SRuRfp5BvD1yArmXKNHO,"Geffen",11A,USUM71021458
86,"What Happens After You?","Weezer",30,123,"alternative rock","Rock","SZNZ: Autumn",2022-09-22,03:19,65,61,1,0,54,0,30,-8,G minor,4,2025-10-05,5x7Ffxc1Obg13x5IzM1XXV,"Crush Music/Atlantic",6A,USAT22214224
87,"Pink Triangle","Weezer",64,119,"alternative rock","Rock","Pinkerton",1996-09-24,03:58,28,89,1,0,47,0,30,-5,F#/G♭,4,2025-10-05,6qQGxKyy6LcyZVsWn93lyS,"DGC",2B,USGF19600708
88,"My Famed Disappearing Act","Thank You Scientist",0,170,"progressive metal, progressive rock, math rock, djent, jazz fusion","Metal, Electronic, Jazz, Rock","Maps of Non-Existent Places",2014-09-30,05:43,39,92,1,0,43,0,30,-3,G#/A♭,4,2025-10-05,3UKANPBT62yO4J381vCe9R,"Evil Ink Records",4B,QMMTR1400050
89,"Lake Effect Kid","Fall Out Boy",41,142,"emo, pop punk","Rock, Pop","Lake Effect Kid",2018-08-23,03:40,57,95,1,0,66,0,30,-2,F,4,2025-10-05,0UvVZwaKrd4JRXS03D59p0,"Island Records",7B,USUM71812260
90," From Now On We Are Enemies ","Fall Out Boy",44,160,"emo, pop punk","Rock, Pop","Believers Never Die - Greatest Hits",2009-01-01,03:36,46,97,0,0,36,20,0,-4,G,4,2025-10-05,2hC4LPebn0xctVGsVPOwJX,"Island Records",9B,USUM70903534
91,"Operator Error","We Are Scientists",15,150,"indie rock","Rock","Lobes",2023-01-20,02:36,51,84,0,0,69,0,0,-4,G minor,4,2025-10-05,53wcqwMmmWJFlCAhyQA9IP,"Masterswan Recordings",6A,GB2YG2200018
92,"Human Resources","We Are Scientists",12,136,"indie rock","Rock","Lobes",2023-01-20,03:59,53,88,1,0,60,10,10,-4,G#/A♭,4,2025-10-05,6lSjEhHATVoutLzwFgmDIa,"Masterswan Recordings",4B,GB2YG2200020
93,"Rabbit Heart (Raise It Up)","Florence + The Machine",26,117,"baroque pop","Classical, Pop","Lungs",2009-01-01,03:52,63,87,7,0,44,0,20,-3,A minor,4,2025-10-05,49B24HYYfECzzbJzCTAkpa,"Universal-Island Records Ltd.",8A,GBUM70903474
94,"My Kink Is Karma","Chappell Roan",76,87,"","","The Rise and Fall of a Midwest Princess",2023-09-21,03:42,56,60,1,0,42,0,10,-6,D,4,2025-10-05,3bFC4mJkgF9HvTU1mncW7x,"Chappell Roan PS/ Island",10B,USUG12302737
95,"Of Moons, Birds & Monsters","MGMT",52,124,"indie","Pop, Rock","Oracular Spectacular",2007-12-14,04:46,60,90,2,1,40,0,0,-4,C♯/D♭ minor,4,2025-10-05,0w8dULoVhTuC8x8m8PKwX7,"Red Ink/Columbia",12A,USSM10702134
